Sample,Code,Fe,Mn,Ni,Cu,Co,Zn,Ca,Mg,Na,K
1,C,1.21,0.03,0.02,0.02,0.11,0.13,65.97,10.51,31.72,102.36
2,C,2.17,0.09,0.09,0.02,0.03,0.15,22.54,11.66,0.97,132.15
3,C,3.04,0.04,0.08,0.02,0.03,0.07,83.20,41.42,1.37,117.89
4,C,2.32,0.24,0.06,0.05,0.11,0.40,37.78,23.15,1.17,98.84
5,C,2.80,0.20,0.03,0.03,0.11,0.04,32.36,13.33,0.80,59.16
6,C,0.15,0.08,0.05,0.03,0.11,0.21,4.75,28.53,0.88,56.17
7,C,1.42,0.03,0.02,0.02,0.03,0.13,27.48,18.43,0.69,56.48
8,C,1.13,0.03,0.06,0.04,0.11,0.15,7.52,10.35,0.62,70.62
9,C,1.87,0.11,0.06,0.05,0.03,0.23,4.20,4.38,0.81,53.87
10,C,2.54,0.10,0.10,0.04,0.03,0.22,13.38,11.38,1.16,88.96
11,C,1.88,0.09,0.03,0.02,0.09,0.31,41.77,30.84,1.04,92.94
12,C,2.15,0.08,0.08,0.04,0.03,0.10,12.91,18.17,3.36,96.54
13,C,0.69,0.07,0.05,0.01,0.03,0.23,20.68,24.85,6.98,500.74
14,C,2.36,0.07,0.09,0.02,0.03,0.21,15.10,14.12,3.01,98.94
15,C,0.16,0.14,0.07,0.06,0.11,0.14,17.77,19.31,2.76,45.76
16,C,0.09,0.30,0.03,0.01,0.11,0.07,42.81,7.97,38.96,47.99
17,C,1.28,0.24,0.10,0.02,0.11,0.14,77.47,13.93,6.41,51.00
18,C,1.19,0.05,0.07,0.03,0.10,0.10,20.77,12.31,5.99,61.20
19,C,0.67,0.07,0.06,0.02,0.03,0.10,23.84,7.30,28.52,72.61
20,C,0.94,0.08,0.07,0.10,0.03,0.16,5.67,5.67,4.27,56.68
21,C,1.50,0.05,0.03,0.02,0.11,0.13,9.61,8.31,4.88,146.59
22,C,3.21,0.11,0.12,0.16,0.04,0.23,68.82,11.95,4.74,68.96
23,C,1.86,0.04,0.10,0.06,0.03,0.28,36.56,11.72,4.33,56.69
24,C,1.33,0.09,0.07,0.02,0.03,0.10,129.76,5.61,3.07,354.58
25,C,2.79,0.22,0.10,0.04,0.05,0.50,20.00,11.49,15.64,114.46
26,C,0.91,0.25,0.10,0.06,0.05,0.07,42.25,22.09,16.09,137.60
27,C,4.55,0.20,0.09,0.03,0.05,0.08,63.00,3.00,16.80,140.20
28,C,0.02,0.04,0.09,0.03,0.05,0.01,19.69,36.45,17.54,215.20
29,C,1.06,0.09,0.12,0.05,0.05,0.16,20.45,19.32,17.26,180.11
30,C,2.69,0.09,0.12,0.12,0.05,0.16,41.28,21.12,17.44,24.81
31,C,6.41,0.04,0.10,0.04,0.06,0.60,21.09,28.52,15.23,56.05
32,C,4.39,0.03,0.11,0.07,0.05,0.07,17.66,33.53,10.71,372.82
33,C,4.52,0.03,0.10,0.02,0.05,0.08,15.17,27.54,14.57,113.37
34,C,1.08,0.07,0.09,0.03,0.06,0.08,21.50,17.55,16.96,116.77
35,C,0.94,0.10,0.09,0.05,0.05,0.49,15.97,15.77,10.78,151.70
36,C,3.32,0.04,0.12,0.03,0.06,0.46,11.38,14.77,7.19,138.72
37,C,4.71,0.04,0.12,0.16,0.05,0.07,15.55,3.94,12.99,268.70
38,C,3.16,0.10,0.10,0.04,0.05,0.16,25.65,15.23,13.43,182.36
39,C,3.18,0.03,0.10,0.17,0.05,0.16,61.34,3.16,13.41,26.23
40,C,4.71,0.05,0.11,0.05,0.05,0.10,43.51,2.59,14.17,59.08
41,C,2.46,0.03,0.10,0.08,0.05,0.18,70.27,15.91,13.07,124.43
42,C,3.04,0.07,0.10,0.04,0.12,0.04,43.17,16.24,13.47,57.43
43,C,3.48,0.04,0.12,0.08,0.06,0.15,165.13,68.79,8.86,356.45
44,C,2.65,0.04,0.12,0.10,0.17,0.19,241.72,20.96,9.38,197.60
45,C,0.88,0.15,0.11,0.33,0.17,1.31,50.99,13.69,9.13,433.33
46,C,1.26,0.02,0.07,0.03,0.11,0.12,61.25,30.58,7.87,111.00
47,C,0.70,0.05,0.03,0.04,0.03,0.05,94.07,27.19,7.14,24.21
48,C,2.38,0.06,0.03,0.04,0.04,0.05,179.18,13.63,7.41,138.88
49,C,1.92,0.14,0.03,0.27,0.11,0.44,58.04,36.07,6.00,195.07
50,C,0.18,0.04,0.05,0.14,0.11,0.17,86.20,11.19,7.05,197.55
51,C,1.57,0.13,0.04,0.13,0.11,0.16,110.49,34.46,7.03,196.18
52,C,0.22,0.27,0.06,0.12,0.11,0.16,104.32,15.99,5.55,202.77
53,C,5.43,0.03,0.01,0.02,0.11,0.12,86.77,10.55,5.69,196.80
54,C,0.10,0.07,0.04,0.01,0.11,0.23,55.02,21.93,5.88,121.80
